Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
WC - City of Cape Town Metropolitan Municipality,Male,40-44,103294,105855,108427,111079,114028,116976,120073,123145,125995,128639,130992,133289,135701,138208,140789
WC - City of Cape Town Metropolitan Municipality,Male,45-49,83764,86542,89405,92223,95177,98036,100951,103947,106962,109953,112943,115957,118942,121784,124986
WC - City of Cape Town Metropolitan Municipality,Male,50-54,68174,69725,71367,73270,75657,78234,81147,84296,87486,90566,93388,96162,99043,102036,105225
WC - City of Cape Town Metropolitan Municipality,Male,55-59,54144,55732,57383,59084,60864,62618,64309,66053,68000,70261,72891,75766,78793,81825,84911
WC - City of Cape Town Metropolitan Municipality,Male,60-64,39572,41132,42764,44399,46039,47742,49443,51159,52852,54503,56199,57871,59638,61635,63560
WC - City of Cape Town Metropolitan Municipality,Male,65-69,27149,27951,28870,29975,31260,32673,34172,35730,37301,38864,40426,42015,43650,45307,47104
WC - City of Cape Town Metropolitan Municipality,Male,70-74,16209,17002,17794,18556,19307,20079,20904,21846,22920,24123,25442,26836,28271,29724,31310
WC - City of Cape Town Metropolitan Municipality,Male,75-79,8543,8719,9000,9411,9976,10565,11134,11703,12285,12894,13647,14458,15361,16379,17349
WC - City of Cape Town Metropolitan Municipality,Male,80+,4980,5264,5565,5885,6221,6495,6775,7061,7351,7648,8236,8835,9456,10110,10776
WC - City of Cape Town Metropolitan Municipality,Female,0-4,161266,162815,164362,166081,168063,169057,169825,170586,171607,172841,173322,174320,174836,175347,176105
WC - City of Cape Town Metropolitan Municipality,Female,5-9,152036,153371,155167,157007,158337,159897,161382,162816,164418,166441,168454,169873,171037,172147,173736
WC - City of Cape Town Metropolitan Municipality,Female,10-14,149738,150337,151013,151763,152318,153510,154730,156137,157414,158350,159797,161253,162850,164719,166221
WC - City of Cape Town Metropolitan Municipality,Female,15-19,150488,151751,153050,154639,153697,154317,154955,155247,155352,155436,156730,158108,159351,160167,161148
WC - City of Cape Town Metropolitan Municipality,Female,20-24,159135,158658,157736,156457,157890,158861,159821,161228,163453,163511,163468,163627,163925,164585,164812
WC - City of Cape Town Metropolitan Municipality,Female,25-29,153025,155694,158482,160811,162445,163481,163770,163272,162096,163930,165465,167004,168892,171360,173275
